REF_AREA,REF_AREA_LABEL,months_count,mean_inflation,volatility,max_inflation,min_inflation,cluster,cluster_name
SOM,Somalia,288,6.835552006944445,5.198842993555593,25.475018,-5.198137,1,Volatile Inflation
ZAF,South Africa,294,7.018218619047623,4.515190217125249,21.820997,0.399202,1,Volatile Inflation
SSD,South Sudan,187,72.98846728877005,112.72171978355703,513.170747,-24.982988,0,Stable Inflation
ESP,Spain,294,3.244943180272108,3.363196241386823,16.635398,-2.745969,1,Volatile Inflation
LKA,Sri Lanka,294,11.742785214285714,13.755441438562915,85.063874,-6.621005,1,Volatile Inflation
SDN,Sudan,198,62.2506716969697,60.02859648575569,272.585479,5.375479,1,Volatile Inflation
SUR,Suriname,294,21.484360653061223,22.84630203564647,90.03523,-8.374714,1,Volatile Inflation
SWE,Sweden,294,2.673578564625851,3.618004866893069,20.954578,-1.746149,1,Volatile Inflation
CHE,Switzerland,294,0.4878353741496602,1.835874679204262,6.483793,-4.581879,1,Volatile Inflation
SYR,Syrian Arab Republic,277,32.466980823104684,45.13779514026883,192.667987,-9.38727,0,Stable Inflation
TJK,Tajikistan,294,10.905856285714288,10.890638360238604,72.596162,-1.738123,1,Volatile Inflation
THA,Thailand,294,3.7715056972789145,4.932299413059964,41.880443,-1.477307,1,Volatile Inflation
TLS,Timor-Leste,294,5.114788275510205,5.140109597974456,20.192308,-4.322767,1,Volatile Inflation
TGO,Togo,291,3.897786408934706,7.312157686584586,37.307082,-11.806044,0,Stable Inflation
TON,Tonga,294,6.075533476190477,4.752370728906005,18.111263,-5.8,1,Volatile Inflation
TTO,Trinidad and Tobago,294,11.129657673469383,8.680270486068459,39.158227,-1.929474,1,Volatile Inflation
TUN,Tunisia,294,5.70967135714286,2.994973132320211,15.877252,0.656081,1,Volatile Inflation
TUR,Turkiye,294,22.81870478231291,22.91636230909933,102.549477,1.382947,1,Volatile Inflation
UGA,Uganda,294,7.014879721088439,7.872829924846004,39.117472,-6.493375,1,Volatile Inflation
UKR,Ukraine,294,11.630594112244903,11.968745923411731,53.738318,-4.995287,1,Volatile Inflation
ARE,United Arab Emirates,288,3.2862177326388857,2.982290305538075,13.677906,-3.523281,1,Volatile Inflation
GBR,United Kingdom,294,3.168379190476191,4.241303171196363,19.121683,-3.256705,1,Volatile Inflation
TZA,Tanzania,294,8.084993445578235,4.947371484911052,27.844763,0.107759,1,Volatile Inflation
USA,United States,294,2.5720779455782323,2.8809689063422423,13.533206,-2.861894,1,Volatile Inflation
URY,Uruguay,294,9.718645955782316,6.078025033124079,37.352355,0.088059,1,Volatile Inflation
UZB,Uzbekistan,294,12.877600061224491,8.879392640933633,44.871779,-2.07678,1,Volatile Inflation
VUT,Vanuatu,291,4.575288460481102,4.79247972616581,24.875622,-6.646884,1,Volatile Inflation
VEN,"Venezuela, RB",286,7967.204697993005,40665.52297413756,371537.503265,7.976024,2,Extreme Inflation
VNM,Viet Nam,291,7.48408404810997,9.081547703937028,45.553466,-3.099626,1,Volatile Inflation
YEM,"Yemen, Rep.",198,14.411660030303038,7.536548733075228,34.333299,-2.258323,1,Volatile Inflation
ZMB,Zambia,294,12.746857112244903,6.746948414181454,31.56948,-0.233158,1,Volatile Inflation
ZWE,Zimbabwe,294,66.221321085034,171.97588732860174,980.406002,-14.136633,0,Stable Inflation
WLD,World,294,4.709943659863948,2.6738540097995136,14.637961,0.649389,1,Volatile Inflation
NAC,North America,294,2.600331122448981,2.8169800371849445,13.344907,-2.579478,1,Volatile Inflation
SAS,South Asia,294,9.148859761904763,4.109877852795736,21.049244,2.155883,1,Volatile Inflation
